weekend_date,channel,brand,category,sub_category,EAN,quantity
2022-06-04,Channel1,B1,Body,Body Lotion,8906087773818,56.0
2022-06-11,Channel1,B1,Body,Body Lotion,8906087773818,122.0
2022-06-18,Channel1,B1,Body,Body Lotion,8906087773818,102.0
2022-06-25,Channel1,B1,Body,Body Lotion,8906087773818,128.0
2022-07-02,Channel1,B1,Body,Body Lotion,8906087773818,97.0
2022-07-09,Channel1,B1,Body,Body Lotion,8906087773818,114.0
2022-07-16,Channel1,B1,Body,Body Lotion,8906087773818,84.0
2022-07-23,Channel1,B1,Body,Body Lotion,8906087773818,102.0
2022-07-30,Channel1,B1,Body,Body Lotion,8906087773818,115.0
2022-08-06,Channel1,B1,Body,Body Lotion,8906087773818,91.0
2022-08-13,Channel1,B1,Body,Body Lotion,8906087773818,87.0
2022-08-20,Channel1,B1,Body,Body Lotion,8906087773818,91.0
2022-08-27,Channel1,B1,Body,Body Lotion,8906087773818,129.0
2022-09-03,Channel1,B1,Body,Body Lotion,8906087773818,127.0
2022-09-10,Channel1,B1,Body,Body Lotion,8906087773818,137.0
2022-09-17,Channel1,B1,Body,Body Lotion,8906087773818,116.0
2022-09-24,Channel1,B1,Body,Body Lotion,8906087773818,147.0
2022-10-01,Channel1,B1,Body,Body Lotion,8906087773818,181.0
2022-10-08,Channel1,B1,Body,Body Lotion,8906087773818,96.0
2022-10-15,Channel1,B1,Body,Body Lotion,8906087773818,85.0
2022-10-22,Channel1,B1,Body,Body Lotion,8906087773818,121.0
2022-10-29,Channel1,B1,Body,Body Lotion,8906087773818,160.0
2022-11-05,Channel1,B1,Body,Body Lotion,8906087773818,226.0
2022-11-12,Channel1,B1,Body,Body Lotion,8906087773818,244.0
2022-11-19,Channel1,B1,Body,Body Lotion,8906087773818,256.0
2022-11-26,Channel1,B1,Body,Body Lotion,8906087773818,271.0
2022-12-03,Channel1,B1,Body,Body Lotion,8906087773818,104.0
2022-12-10,Channel1,B1,Body,Body Lotion,8906087773818,87.0
2022-12-17,Channel1,B1,Body,Body Lotion,8906087773818,97.0
2022-12-24,Channel1,B1,Body,Body Lotion,8906087773818,88.0
2022-12-31,Channel1,B1,Body,Body Lotion,8906087773818,65.0
2023-01-07,Channel1,B1,Body,Body Lotion,8906087773818,77.0
2023-01-14,Channel1,B1,Body,Body Lotion,8906087773818,68.0
2023-01-21,Channel1,B1,Body,Body Lotion,8906087773818,92.0
2023-01-28,Channel1,B1,Body,Body Lotion,8906087773818,49.0
2023-02-04,Channel1,B1,Body,Body Lotion,8906087773818,64.0
2023-02-11,Channel1,B1,Body,Body Lotion,8906087773818,128.0
2023-02-18,Channel1,B1,Body,Body Lotion,8906087773818,133.0
2023-02-25,Channel1,B1,Body,Body Lotion,8906087773818,82.0
2023-03-04,Channel1,B1,Body,Body Lotion,8906087773818,93.0
2023-03-11,Channel1,B1,Body,Body Lotion,8906087773818,82.0
2023-03-18,Channel1,B1,Body,Body Lotion,8906087773818,102.0
2023-03-25,Channel1,B1,Body,Body Lotion,8906087773818,90.0
2023-04-01,Channel1,B1,Body,Body Lotion,8906087773818,53.0
2023-04-08,Channel1,B1,Body,Body Lotion,8906087773818,99.0
2023-04-15,Channel1,B1,Body,Body Lotion,8906087773818,95.0
2023-04-22,Channel1,B1,Body,Body Lotion,8906087773818,125.0
2023-04-29,Channel1,B1,Body,Body Lotion,8906087773818,99.0
2023-05-06,Channel1,B1,Body,Body Lotion,8906087773818,129.0
2023-05-13,Channel1,B1,Body,Body Lotion,8906087773818,156.0
2023-05-20,Channel1,B1,Body,Body Lotion,8906087773818,71.0
2023-05-27,Channel1,B1,Body,Body Lotion,8906087773818,77.0
2023-06-03,Channel1,B1,Body,Body Lotion,8906087773818,85.0
2023-06-10,Channel1,B1,Body,Body Lotion,8906087773818,125.0
2023-06-17,Channel1,B1,Body,Body Lotion,8906087773818,95.0
2023-06-24,Channel1,B1,Body,Body Lotion,8906087773818,97.0
2023-07-01,Channel1,B1,Body,Body Lotion,8906087773818,94.0
2023-07-08,Channel1,B1,Body,Body Lotion,8906087773818,82.0
2023-07-15,Channel1,B1,Body,Body Lotion,8906087773818,64.0
2023-07-22,Channel1,B1,Body,Body Lotion,8906087773818,83.0
2023-07-29,Channel1,B1,Body,Body Lotion,8906087773818,78.0
2023-08-05,Channel1,B1,Body,Body Lotion,8906087773818,91.0
2023-08-12,Channel1,B1,Body,Body Lotion,8906087773818,76.0
2023-08-19,Channel1,B1,Body,Body Lotion,8906087773818,81.0
2023-08-26,Channel1,B1,Body,Body Lotion,8906087773818,63.0
2023-09-02,Channel1,B1,Body,Body Lotion,8906087773818,82.0
2023-09-09,Channel1,B1,Body,Body Lotion,8906087773818,68.0
2023-09-16,Channel1,B1,Body,Body Lotion,8906087773818,87.0
2023-09-23,Channel1,B1,Body,Body Lotion,8906087773818,76.0
2023-09-30,Channel1,B1,Body,Body Lotion,8906087773818,95.0
2023-10-07,Channel1,B1,Body,Body Lotion,8906087773818,100.0
2023-10-14,Channel1,B1,Body,Body Lotion,8906087773818,121.0
2023-10-21,Channel1,B1,Body,Body Lotion,8906087773818,63.0
2023-10-28,Channel1,B1,Body,Body Lotion,8906087773818,87.0
2023-11-04,Channel1,B1,Body,Body Lotion,8906087773818,108.0
2023-11-11,Channel1,B1,Body,Body Lotion,8906087773818,50.0
2023-11-18,Channel1,B1,Body,Body Lotion,8906087773818,29.0
2023-11-25,Channel1,B1,Body,Body Lotion,8906087773818,19.0
2023-12-02,Channel1,B1,Body,Body Lotion,8906087773818,43.0
2023-12-09,Channel1,B1,Body,Body Lotion,8906087773818,46.0
2023-12-16,Channel1,B1,Body,Body Lotion,8906087773818,30.0
2023-12-23,Channel1,B1,Body,Body Lotion,8906087773818,40.0
2023-12-30,Channel1,B1,Body,Body Lotion,8906087773818,40.0
2024-01-06,Channel1,B1,Body,Body Lotion,8906087773818,47.0
2024-01-13,Channel1,B1,Body,Body Lotion,8906087773818,44.0
2024-01-20,Channel1,B1,Body,Body Lotion,8906087773818,43.0
2024-01-27,Channel1,B1,Body,Body Lotion,8906087773818,72.0
2024-02-03,Channel1,B1,Body,Body Lotion,8906087773818,63.0
2024-02-10,Channel1,B1,Body,Body Lotion,8906087773818,41.0
2024-02-17,Channel1,B1,Body,Body Lotion,8906087773818,44.0
2024-02-24,Channel1,B1,Body,Body Lotion,8906087773818,24.0
2024-03-02,Channel1,B1,Body,Body Lotion,8906087773818,24.0
2024-03-09,Channel1,B1,Body,Body Lotion,8906087773818,47.0
2024-03-16,Channel1,B1,Body,Body Lotion,8906087773818,54.0
2024-03-23,Channel1,B1,Body,Body Lotion,8906087773818,48.0
2024-03-30,Channel1,B1,Body,Body Lotion,8906087773818,46.0
2024-04-06,Channel1,B1,Body,Body Lotion,8906087773818,35.0
2024-04-13,Channel1,B1,Body,Body Lotion,8906087773818,46.0
2024-04-20,Channel1,B1,Body,Body Lotion,8906087773818,50.0
2024-04-27,Channel1,B1,Body,Body Lotion,8906087773818,46.0
2024-05-04,Channel1,B1,Body,Body Lotion,8906087773818,45.0
2024-05-11,Channel1,B1,Body,Body Lotion,8906087773818,28.0
2024-05-18,Channel1,B1,Body,Body Lotion,8906087773818,37.0
2024-05-25,Channel1,B1,Body,Body Lotion,8906087773818,10.0
2024-06-01,Channel1,B1,Body,Body Lotion,8906087773818,24.0
2024-06-08,Channel1,B1,Body,Body Lotion,8906087773818,44.0
2024-06-15,Channel1,B1,Body,Body Lotion,8906087773818,28.0
2024-06-22,Channel1,B1,Body,Body Lotion,8906087773818,24.0
2024-06-29,Channel1,B1,Body,Body Lotion,8906087773818,28.0
2024-07-06,Channel1,B1,Body,Body Lotion,8906087773818,22.0
2024-07-13,Channel1,B1,Body,Body Lotion,8906087773818,32.0
2024-07-20,Channel1,B1,Body,Body Lotion,8906087773818,43.0
2024-07-27,Channel1,B1,Body,Body Lotion,8906087773818,68.0
2024-08-03,Channel1,B1,Body,Body Lotion,8906087773818,64.0
2024-08-10,Channel1,B1,Body,Body Lotion,8906087773818,63.0
2024-08-17,Channel1,B1,Body,Body Lotion,8906087773818,38.0
2024-08-24,Channel1,B1,Body,Body Lotion,8906087773818,54.0
2024-08-31,Channel1,B1,Body,Body Lotion,8906087773818,78.0
2022-08-13 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,972.0
2022-08-20 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1841.0
2022-08-27 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,7090.0
2022-09-03 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,425.0
2022-09-10 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,5177.0
2022-09-17 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,3588.0
2022-09-24 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,2266.0
2022-10-01 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,214.0
2022-10-08 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,2398.0
2022-10-15 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,815.0
2022-10-22 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1136.0
2022-10-29 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1388.0
2022-11-05 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,944.0
2022-11-12 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,208.0
2022-11-19 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,749.0
2022-11-26 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1973.0
2022-12-03 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1416.0
2022-12-10 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,563.0
2022-12-17 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,865.0
2022-12-24 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,296.0
2022-12-31 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1237.0
2023-01-07 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,315.0
2023-01-14 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,384.0
2023-01-21 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1429.0
2023-01-28 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1123.0
2023-02-04 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,595.0
2023-02-11 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,66.0
2023-02-18 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,267.0
2023-02-25 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1866.0
2023-03-04 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,752.0
2023-03-11 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,107.0
2023-03-18 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,774.0
2023-03-25 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,960.0
2023-04-01 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,132.0
2023-04-08 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,239.0
2023-04-15 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,689.0
2023-04-22 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,651.0
2023-04-29 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,963.0
2023-05-06 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,242.0
2023-05-13 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,397.0
2023-05-20 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,743.0
2023-05-27 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1001.0
2023-06-03 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,730.0
2023-06-10 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,529.0
2023-06-17 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,576.0
2023-06-24 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,431.0
2023-07-01 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,2892.0
2023-07-08 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,35.0
2023-07-15 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,302.0
2023-07-22 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,60.0
2023-07-29 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,217.0
2023-08-05 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,1945.0
2023-08-12 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,397.0
2023-08-19 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,585.0
2023-08-26 00:00:00,Channel3,B1,Face,Face Serum,8904417301106,721.0
